name,type,level
Viande de Tengu Givrefoux,Viande,Niv. 180
Racine de synthèse,Racine,Niv. 180
Moule de Clef de la Maison du Papa Nowel,Nowel,Niv. 180
Essence de Korriandre,Essence de gardien de donjon,Niv. 180
Estomac de Bwork,Ressources diverses,Niv. 180
Clef de l'Antre du Kralamoure Géant,Clef,Niv. 180
Ventouse du Kralamoure géant,Ressources diverses,Niv. 180
Clef du Donjon Fungus,Clef,Niv. 180
Oreille de Gobosteur,Oreille,Niv. 180
Lamelle Fongique,Champignon,Niv. 180
Oeil d'Ougah,Oeil,Niv. 180
Essence de Bworker,Essence de gardien de donjon,Niv. 180
Essence de Kralamoure,Essence de gardien de donjon,Niv. 180
Testicules du Tanukouï San,Ressources diverses,Niv. 180
Pinceau du Tanukouï San,Ressources diverses,Niv. 180
Patte de Korriandre,Patte,Niv. 180
Queue de Wolvero,Queue,Niv. 180
Clef de la Maison du Papa Nowel,Clef,Niv. 180
Essence d'Ougah,Essence de gardien de donjon,Niv. 180
Clef de l'Atelier du Tanukouï San,Clef,Niv. 180
Peau du Bworker,Peau,Niv. 180
Viande de Givrefoux,Viande,Niv. 180
Viande de Tengu Givrefoux conservée,Viande conservée,Niv. 180
Oeil de Korriandre,Oeil,Niv. 180
Hormone de Kougnard Albâtre,Poudre,Niv. 180
Essence du Tanukouï San,Essence de gardien de donjon,Niv. 180
Encre du Kralamoure géant,Ressources diverses,Niv. 180
Clef de l'Antre du Korriandre,Clef,Niv. 180
Viande de Givrefoux conservée,Viande conservée,Niv. 180
Oreille d'Apériglours,Oreille,Niv. 180
Ongle du Bworker,Os,Niv. 180
Peau de Rouquette,Peau,Niv. 180
Boulon de Cybwork,Ressources diverses,Niv. 179
Lamelle de Mérulette,Champignon,Niv. 178
Lunettes de Parashukouï,Ressources diverses,Niv. 177
Poing rocheux d'Ishigro Pake,Ressources diverses,Niv. 177
Langue du Champodonte,Ressources diverses,Niv. 177
Oeil de Dramanite,Oeil,Niv. 176
Masque de Shinibaru,Ressources diverses,Niv. 176
Flaque Vénérable,Ressources diverses,Niv. 175
Bandeau troué d'Air,Vêtement,Niv. 175
Poterie cassée de Lolojiki,Ressources diverses,Niv. 175
Boue Vénérable,Ressources diverses,Niv. 175
Cendres Vénérables,Poudre,Niv. 175
Bandeau troué de Terre,Vêtement,Niv. 175
Croc de Krokille,Os,Niv. 175
Bandeau troué d'Eau,Vêtement,Niv. 175
Volve de Fongeur,Champignon,Niv. 175
Poudre Vénérable,Poudre,Niv. 175
Fumée Vénérable,Ressources diverses,Niv. 175
Bandeau troué de Feu,Vêtement,Niv. 175
Poils magiques de Tanuki,Poil,Niv. 174
Trompe de la Tromperelle,Ressources diverses,Niv. 174
Écorce d'Abrazif,Écorce,Niv. 174
Volve de Fistulor,Champignon,Niv. 173
Baguette de Tétonuki,Ressources diverses,Niv. 172
Écorce de Champaknyde,Écorce,Niv. 171
Clef de la Tanière Givrefoux,Clef,Niv. 170
Chair de Mansot Royal,Viande,Niv. 170
Incisive de Kami Givrefoux,Os,Niv. 170
Patte de Masticroc,Patte,Niv. 170
Peau de Kailleu,Peau,Niv. 170
Koinkoin de bain de Nagate,Ressources diverses,Niv. 170
Clef de la Vallée de la Dame des eaux,Clef,Niv. 170
Laine de Tengu Givrefoux,Laine,Niv. 170
Peau de Trémorse,Peau,Niv. 170
Peau sale du Roi Skaille,Peau,Niv. 170
Essence de Tengu Givrefoux,Essence de gardien de donjon,Niv. 170
Couronne de Nagate,Ressources diverses,Niv. 170
Cuir de Givrefoux,Cuir,Niv. 170
Langue de Morsquale,Ressources diverses,Niv. 170
Ecaille de Kailleu,Peau,Niv. 170
Essence de Nagate,Essence de gardien de donjon,Niv. 170
Cuir de Tengu Givrefoux,Cuir,Niv. 170
Hormone de Tofureur,Poudre,Niv. 170
Dent de Cycloporth,Os,Niv. 170
Viscères du Roi Skaille,Ressources diverses,Niv. 170
Essence de Roi Skaille,Essence de gardien de donjon,Niv. 170
Chair de Mansot Royal conservée,Viande conservée,Niv. 170
Carapace de Ver des Sables,Carapace,Niv. 170
Katana de Kwamouraï,Ressources diverses,Niv. 169
Laine de Yokaï Givrefoux,Laine,Niv. 169
Queue de Yomi Givrefoux,Queue,Niv. 168
Salopette Kwapa,Vêtement,Niv. 167
Oreille de Soryo Givrefoux,Oreille,Niv. 166
Eau de Kwapa,Ressources diverses,Niv. 165
Laine de Maho Givrefoux,Laine,Niv. 165
Poil de Ben le Ripate,Poil,Niv. 165
Scapula de Ben le Ripate,Os,Niv. 165
Concombre,Légume,Niv. 164
Akaslip d'Akakwa,Vêtement,Niv. 163
Sarbacane en Bambou,Ressources diverses,Niv. 162
Clef de la salle du Minotot,Clef,Niv. 160
Laine du Minotot,Laine,Niv. 160
Chaussette du Kimbo,Ressources diverses,Niv. 160
Ethmoïde du Minotot,Os,Niv. 160
Essence d'Obsidiantre,Essence de gardien de donjon,Niv. 160
Clef de la Pyramide du Roi Skaille,Clef,Niv. 160
Viande de Crocodaille Conservée ****,Viande conservée,Niv. 160
Plume de Crocoplumes,Plume,Niv. 160
Mycose de Zombrute,Ressources diverses,Niv. 160
Essence de Zombrute,Essence de gardien de donjon,Niv. 160
Planche en Bambou Doré,Planche,Niv. 160
Œil de Kailleu,Oeil,Niv. 160
Chair de Zombrute,Ressources diverses,Niv. 160
Clef de la Canopée du Kimbo,Clef,Niv. 160
Scorie d'Obsidiantre,Pierre brute,Niv. 160
Casque Mâchouillé,Vêtement,Niv. 160
Dent de Kailleu,Os,Niv. 160
Viande de Crocodaille **,Viande,Niv. 160
Viande de Crocodaille ****,Viande,Niv. 160
Clef de la Chapelle inondée,Clef,Niv. 160
Faux du Maitre Corbac,Ressources diverses,Niv. 160
Protection usagée du Bworker,Ressources diverses,Niv. 160
Bois de Bambou Doré,Bois,Niv. 160
Perruque du Kimbo,Poil,Niv. 160
Clef de l'hypogée de l'Obsidiantre,Clef,Niv. 160
Vertèbre d'Obsidiantre,Os,Niv. 160
Essence de Kimbo,Essence de gardien de donjon,Niv. 160
Viande de Crocodaille Conservée **,Viande conservée,Niv. 160
Essence de Minotot,Essence de gardien de donjon,Niv. 160
Tuf de Mofette,Pierre brute,Niv. 159
Coeur de Crapeur,Pierre brute,Niv. 158
Aquarakne de Crânonier,Coquille,Niv. 158
Protection de Funespadon,Vêtement,Niv. 158
Fragment de Zombibé,Coquille,Niv. 158
Pointe de Lance de Tournoyé,Os,Niv. 156
Résidu de Solfataré,Pierre brute,Niv. 156
Souche de l'Abrakleur clair,Bois,Niv. 156
Pierre de Fumrirolle,Pierre brute,Niv. 155
Oeil de Vigie Pirate,Oeil,Niv. 155
Oeuf vapeur,Oeuf,Niv. 155
Coquille de Harpirate,Coquille,Niv. 155
Bout d’Armure de Macrab,Vêtement,Niv. 155
Coquille du Kaskargo,Coquille,Niv. 154
Bave gluante,Ressources diverses,Niv. 154
Pierre d'Atomystique,Pierre brute,Niv. 153
Coco du Bitouf aérien,Coquille,Niv. 152
Deuxième clef du Donjon de Sphincter,Clef,Niv. 150
Clef du Donjon des Rats du Château d'Amakna,Clef,Niv. 150
Épine Dorsale de Grozilla,Peau,Niv. 150
Patron du Nowel Cauchemardesque,Nowel,Niv. 150
Râtelier d'Oogie Betty,Nowel,Niv. 150
Essence de Sphincter Cell,Essence de gardien de donjon,Niv. 150
Bandelette de la Momie Nova,Ressources diverses,Niv. 150
Feuille de Blop Multicolore Royal,Plante,Niv. 150
Clef du Grolandais violent,Clef,Niv. 150
Cuisse de Royalmouth conservée,Viande conservée,Niv. 150
Alliage Ivre,Alliage,Niv. 150
Orbe céladon,Pierre précieuse,Niv. 150
Première clef du Donjon de Sphincter,Clef,Niv. 150
Étoffe de Sphincter Cell,Etoffe,Niv. 150
Tresse du Poolay,Ressources diverses,Niv. 150
Galet Solaire,Galet,Niv. 150
Fleur de Blop Multicolore Royal,Fleur,Niv. 150
Cuisse de Royalmouth,Viande,Niv. 150
Essence de Ben le Ripate,Essence de gardien de donjon,Niv. 150
Museau ***,Viande,Niv. 150
Huile de Pirate,Huile,Niv. 150
Coquille de Fantimonier,Coquille,Niv. 150
Mât de Fantômat,Bois,Niv. 150
Bézoard Ardent de Grozilla,Pierre précieuse,Niv. 150
Galet brasillant,Galet,Niv. 150
Galet acajou,Galet,Niv. 150
Oreille de Sphincter Cell,Oreille,Niv. 150
Étoffe de Meupette,Etoffe,Niv. 149
Peau de Krambwork,Peau,Niv. 147
Plume du Mansot Royal,Plume,Niv. 145
Bouée de Fantomalamère,Ressources diverses,Niv. 145
Pince du Fancrôme,Os,Niv. 145
Oreille de Médibwork,Oreille,Niv. 143
Cuir violet de Mégabwork,Cuir,Niv. 143
Scalp de Bizarbwork,Ressources diverses,Niv. 142
Botte usée de Bwork,Vêtement,Niv. 142
Ambre du Chêne Mou,Pierre précieuse,Niv. 140
Clef Mansot,Clef,Niv. 140
Poils de Kanigroula,Poil,Niv. 140
Essence de Chêne Mou,Essence de gardien de donjon,Niv. 140
Racine du Chêne Mou,Racine,Niv. 140
Écorce du Tynril,Écorce,Niv. 140
Hormone de Bounax,Poudre,Niv. 140
Queue de Kanigroula,Queue,Niv. 140
Essence de Mansot Royal,Essence de gardien de donjon,Niv. 140
Essence de Kanigroula,Essence de gardien de donjon,Niv. 140
Clef du Laboratoire du Tynril,Clef,Niv. 140
Clef du Repaire de Kanigroula,Clef,Niv. 140
Pistil du Tynril,Plante,Niv. 140
Cœur Gelé,Ressources diverses,Niv. 140
Essence de Tynril,Essence de gardien de donjon,Niv. 140
Viande de Kanigrou ****,Viande,Niv. 140
Canine de Félygiène,Os,Niv. 139
Feuille de Branche Soignante,Plante,Niv. 138
Cheveux d'Alhyène,Poil,Niv. 138
Oreille de Kaniglou,Oreille,Niv. 135
Talon d'achille de l'Abrakleur sombre,Ressources diverses,Niv. 135
Huile de Mansot,Huile,Niv. 135
Queue du Fu Mansot,Queue,Niv. 135
Oeuf du Mansot Royal,Oeuf,Niv. 135
Tignasse de Kanihilan,Poil,Niv. 134
Crinière d’Orfélin,Poil,Niv. 133
Peau de Kanig,Peau,Niv. 132
Clef du Donjon du Chêne Mou,Clef,Niv. 130
Oreille percée du Fricochère,Oreille,Niv. 130
Hormone de La Chose,Poudre,Niv. 130
Essence du Gardien Crakillian,Essence de gardien de donjon,Niv. 130
Clef du Sanctuaire Minéroc,Clef,Niv. 130
Calumet Zoth,Ressources diverses,Niv. 130
Poil de barbe du Shamansot,Poil,Niv. 130
Viande de Kanigrou **,Viande,Niv. 130
Coco du Bitouf Sombre,Coquille,Niv. 129
Noeul Mort,Ressources diverses,Niv. 126
Bourgeon d'Abraknyde Sombre Irascible,Bourgeon,Niv. 126
Écorce de Floribonde,Écorce,Niv. 126
Queue du Royalmouth,Queue,Niv. 125
Laine du Royalmouth,Laine,Niv. 125
Duvet de Mamansot,Poil,Niv. 125
Deuxième Fragment de Feu,Pierre brute,Niv. 125
Troisième Fragment d'Eau,Pierre brute,Niv. 125
Pierre de Feu,Pierre précieuse,Niv. 125
Pierre d'Air,Pierre précieuse,Niv. 125
Fumée Mature,Ressources diverses,Niv. 125
Deuxième Fragment de Terre,Pierre brute,Niv. 125
Troisième Fragment de Terre,Pierre brute,Niv. 125
Quatrième Fragment d'Air,Pierre brute,Niv. 125
Testicules de Crakillian,Ressources diverses,Niv. 125
Sang d'Oni,Ressources diverses,Niv. 125
Cuir du Sanglacier,Cuir,Niv. 125
Premier Fragment de Feu,Pierre brute,Niv. 125
Premier Fragment d'Eau,Pierre brute,Niv. 125
Deuxième Fragment d'Eau,Pierre brute,Niv. 125
Pierre d'Eau,Pierre précieuse,Niv. 125
Coquille de Krokille,Coquille,Niv. 125
Antennes du Cafard Fadet,Nowel,Niv. 125
Troisième Fragment de Feu,Pierre brute,Niv. 125
Quatrième Fragment de Feu,Pierre brute,Niv. 125
Premier Fragment de Terre,Pierre brute,Niv. 125
Quatrième Fragment de Terre,Pierre brute,Niv. 125
Premier Fragment d'Air,Pierre brute,Niv. 125
Pierre de Terre,Pierre précieuse,Niv. 125
Flaque Mature,Ressources diverses,Niv. 125
Épine dorsale de Crakillian,Ressources diverses,Niv. 125
Quatrième Fragment d'Eau,Pierre brute,Niv. 125
Deuxième Fragment d'Air,Pierre brute,Niv. 125
Troisième Fragment d'Air,Pierre brute,Niv. 125
Boue Mature,Ressources diverses,Niv. 125
Poudre Mature,Poudre,Niv. 125
Plume du Serpiplume,Plume,Niv. 124
Poil de Gamino,Poil,Niv. 124
Langue de Craquelope,Ressources diverses,Niv. 124
Coeur de Minéroc,Pierre brute,Niv. 123
Oreille de Bouftonmouth,Oreille,Niv. 123
Œil de Craquelourd,Oeil,Niv. 122
Fragment de Pierre Polie,Pierre brute,Niv. 121
Calice de Fécorce,Plante,Niv. 121
Couronne Brisée du Tofu Royal,Ressources diverses,Niv. 120
Plume de Tofu Royal,Plume,Niv. 120
Clef du Repaire de Skeunk,Clef,Niv. 120
Peau de Crocabulia,Peau,Niv. 120
Poil de Skeunk,Poil,Niv. 120
Clef de l'antre du Blop Multicolore,Clef,Niv. 120
Peau du Troollolens,Peau,Niv. 120
Essence de Blop Multicolore Royal,Essence de gardien de donjon,Niv. 120
Essence de Tofu Royal,Essence de gardien de donjon,Niv. 120
Laine du Minotoror,Laine,Niv. 120
Cuir de Minotoror,Cuir,Niv. 120
Dent de Crocabulia,Os,Niv. 120
Pierre de Terraburkal le Perfide,Pierre brute,Niv. 120
Carré de viande conservé,Viande conservée,Niv. 120
Essence de Royalmouth,Essence de gardien de donjon,Niv. 120
Citrouille,Légume,Niv. 120
Clef du Sanctuaire des Dragoeufs,Clef,Niv. 120
Pierre d'Ignerkocropos l'Affamé,Pierre brute,Niv. 120
Tibia du Guerrier Zoth,Os,Niv. 120
Corne de Boufmouth de guerre,Os,Niv. 120
Clef de la serre du Royalmouth,Clef,Niv. 120
Peau de Mansobèse,Peau,Niv. 120
Sang de Wabbit Garou,Ressources diverses,Niv. 120
Essence de Skeunk,Essence de gardien de donjon,Niv. 120
Kristalite,Pierre précieuse,Niv. 120
Viande de Koalak Conservée,Viande conservée,Niv. 120
Clavicule de Boufmouth,Os,Niv. 120
Cuir Onique,Cuir,Niv. 120
Pastèque,Fruit,Niv. 120
Essence de Minotoror,Essence de gardien de donjon,Niv. 120
Clef du Labyrinthe du Minotoror,Clef,Niv. 120
Clef Secrète du Tofulailler Royal,Clef,Niv. 120
Clef du Donjon des Dragoeufs,Clef,Niv. 120
Pierre d'Aqualikros l'Impitoyable,Pierre brute,Niv. 120
Pierre d'Aerotrugobur le Malveillant,Pierre brute,Niv. 120
Peau de Skeunk,Peau,Niv. 120
Ecusson du Sergent Zoth,Ressources diverses,Niv. 120
Dent de Smilomouth,Os,Niv. 120
Carré de viande,Viande,Niv. 120
Chair de Mansot,Viande,Niv. 120
Chair de Mansot conservée,Viande conservée,Niv. 120
Feuille de Cawotman,Plante,Niv. 120
Oreilles de Wabbit Fluo,Oreille,Niv. 120
Dents de Wabbit Vampire,Os,Niv. 120
Oeil de Wabbit Céphale,Oeil,Niv. 120
Cawotte Transgénique,Légume,Niv. 120
Essence de Crocabulia,Essence de gardien de donjon,Niv. 120
Laine de Boufmouth,Laine,Niv. 119
Laine de Boufmouth légendaire,Laine,Niv. 118
Patte de Tofu Dodu,Patte,Niv. 118
Pierre de Granit,Pierre brute,Niv. 118
Jouet de Gamine Zoth,Ressources diverses,Niv. 118
Carpelle de Brouture,Plante,Niv. 117
Larve d'Eau,Ressources diverses,Niv. 116
Graine sombre,Graine,Niv. 115
Plume de Tofubine,Plume,Niv. 115
Queue d'Ecumouth,Queue,Niv. 115
Gland Givré,Graine,Niv. 115
Plume du Timansot,Plume,Niv. 115
Bracelet de Force de Trool,Ressources diverses,Niv. 115
Boomerang du Maître Koalak,Ressources diverses,Niv. 114
Étoffe du Fauchalak,Etoffe,Niv. 114
Peau de Mandrine,Peau,Niv. 114
Crâne d'Aventurier,Os,Niv. 114
Carapace de Scaratos,Carapace,Niv. 114
Cendres de Tofutoflamme,Poudre,Niv. 114
Plumeau de Tofuzmo,Plume,Niv. 114
Peau de Minoskito,Peau,Niv. 114
Peau de Kraméléhon,Peau,Niv. 114
Bec de Dokachu,Os,Niv. 114
Enfumoir Zoth,Ressources diverses,Niv. 114
Cubitus de Momie Koalak,Os,Niv. 112
Poils de Warko Violet,Poil,Niv. 112
Sépale de Nerbe,Plante,Niv. 112
Pince de Crabe Hijacob,Os,Niv. 111
Etoffe de Rat Bougri,Etoffe,Niv. 111
Plume de Dolbinos,Plume,Niv. 111
Clakoss,Ressources diverses,Niv. 110
Corne de Dragoeuf Guerrier,Os,Niv. 110
Étoffe de Rat Blanc,Etoffe,Niv. 110
Clef de la Caverne de Nowel,Clef,Niv. 110
Moule de Clef de la Caverne de Nowel,Nowel,Niv. 110
Duvet du Maître Corbac,Plume,Niv. 110
Foulard de Koalak Farouche,Ressources diverses,Niv. 110
Plume de Dolivar,Plume,Niv. 110
Fleur de Dodus,Fleur,Niv. 110
Essence de Rat Noir,Essence de gardien de donjon,Niv. 110
Clef de la Bibliothèque du Maître Corbac,Clef,Niv. 110
Clef du Donjon des Rats de Bonta,Clef,Niv. 110
Peau du Rasboul Majeur,Peau,Niv. 110
Eau calme,Ressources diverses,Niv. 110
Essence de Rat Blanc,Essence de gardien de donjon,Niv. 110
Essence de Grasméra Épuisé,Essence de gardien de donjon,Niv. 110
Plume du Maître Corbac,Plume,Niv. 110
Corne de Dragueuse,Os,Niv. 110
Cubitus de Rat Noir,Os,Niv. 110
Bractée de Chiendent,Plante,Niv. 110
Clef du Goulet du Rasboul,Clef,Niv. 110
Essence de Rasboul,Essence de gardien de donjon,Niv. 110
Aile de Dragoeuf Volant,Aile,Niv. 110
Étoffe de Rat Noir,Etoffe,Niv. 110
Dent de Rat Blanc,Os,Niv. 110
Plume de Dostrogo,Plume,Niv. 110
Viande d'Oiseau ***,Viande,Niv. 110
Essence de Maître Corbac,Essence de gardien de donjon,Niv. 110
Bec de Vilain Petit Tofu,Os,Niv. 109
Houpette de Koalak Sanguin,Poil,Niv. 108
Peau de Chevaucheur Koalak,Peau,Niv. 108
Plume de Corbac Apprivoisé,Plume,Niv. 107
Tourbe séchée de Tourbassingue,Ressources diverses,Niv. 107
Tibia de Koalak Fossoyeur,Os,Niv. 106
Poil de Renarbo,Poil,Niv. 106
Patte de Corbac,Patte,Niv. 106
Plume de Gélikan,Plume,Niv. 106
Poils de Guerrier Koalak,Poil,Niv. 106
Poil de Rat Bontarien,Poil,Niv. 105
Poil de Rat Brâkmarien,Poil,Niv. 105
Plume de Buveur,Plume,Niv. 104
Œil de Crowneille,Oeil,Niv. 103
Cuir du Dragon Cochon,Cuir,Niv. 100
Laine rêche,Laine,Niv. 100
Jeton du Bworker,Ressources diverses,Niv. 100
Pyrute,Alliage,Niv. 100
Clef de la Caverne du Koulosse,Clef,Niv. 100
Peau de Don Dorgan,Peau,Niv. 100
Frostiz,Céréale,Niv. 100
Cuisse de Boufmouth conservée,Viande conservée,Niv. 100
Poisskaille Givré,Poisson,Niv. 100
Viande de Rat Bougri,Viande,Niv. 100
Plume du Rasboul Majeur,Plume,Niv. 100
Clef du Potager d'Halouine,Clef,Niv. 100
Essence de Dragon Cochon,Essence de gardien de donjon,Niv. 100
Essence de Koulosse,Essence de gardien de donjon,Niv. 100
Graine de Pandouille,Graine,Niv. 100
Planche en Bambou Sacré,Planche,Niv. 100
Clef de l'antre du Dragon Cochon,Clef,Niv. 100
Poisskaille,Poisson,Niv. 100
Obsidienne,Minerai,Niv. 100
